"STNDR_DAYHMINSEC","MSNT_GPS_LAT","MSNT_GPS_LONG","CCTV_LOCA_EXPLN","PM25_CTRN_MM3","PM10_CTRN_MM3","NO2_CTRN_PPM","O3_CTRN_PPM","CO_CTRN_PPM","SO2_CTRN_PPM","RRGMNT_WGS84_LAT","RRGMNT_WGS84_LONG","RRGMNT_UTMK_Y_CRDNT","RRGMNT_UTMK_X_CRDNT","RRGMNT_1ST_TLLBADD","RRGMNT_2ND_TLLBADD","RRGMNT_3RD_TLLBADD"
"20251106042102","35.182542","128.125233","남강제지 앞","5.0","9.0","0.016","0.022","2.941","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106062802","35.182542","128.125233","남강제지 앞","6.0","9.0","0.013","0.021","1.351","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106040602","35.182542","128.125233","남강제지 앞","7.0","11.0","0.016","0.022","3.019","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106070702","35.182542","128.125233","남강제지 앞","10.0","17.0","0.01","0.021","1.438","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106061601","35.182542","128.125233","남강제지 앞","7.0","12.0","0.014","0.022","1.27","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106065202","35.182542","128.125233","남강제지 앞","6.0","9.0","0.013","0.022","1.12","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106050902","35.182542","128.125233","남강제지 앞","6.0","9.0","0.015","0.022","2.691","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106033602","35.182542","128.125233","남강제지 앞","6.0","9.0","0.017","0.022","3.561","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106064902","35.182542","128.125233","남강제지 앞","6.0","9.0","0.012","0.021","1.109","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
"20251106033003","35.182542","128.125233","남강제지 앞","6.0","9.0","0.018","0.022","3.552","0.0","35.182542","128.125233","1687650.5326457182","1056926.934784915","대전광역시","유성구","상대동"
